ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000152583.12	SPARCL1	SPARCL1	8404	SPARC like 1	994.3163629896776	4.544247539965328	0.20979656687268833	3.814780173218908e-107	6.588888315183698e-103
ENSG00000148175.13	STOM	STOM	2040	stomatin	13368.294188107804	1.4130240400276972	0.088080093198032	5.56444951992639e-60	4.8054586054084305e-56
ENSG00000179094.16	PER1	PER1	5187	period circadian regulator 1	764.2751910150247	3.1331665034501452	0.20390395642652293	9.454403590122044e-55	5.443215293619598e-51
ENSG00000134686.18	PHC2	PHC2	1912	polyhomeotic homolog 2	2708.3720710581774	1.3706231160400857	0.09018817179198074	3.8286826019242664e-54	1.6532251475108983e-50
ENSG00000120129.6	DUSP1	DUSP1	1843	dual specificity phosphatase 1	3357.1543129593742	2.8997154091418103	0.19824470742196695	9.250707401630954e-50	3.1955643648193966e-46
ENSG00000125148.7	MT2A	MT2A	4502	metallothionein 2A	3626.7544013496367	2.1725322740736503	0.1500318336845909	4.2236207129234245e-49	1.2158396158935564e-45
ENSG00000189221.9	MAOA	MAOA	4128	monoamine oxidase A	2329.8581761488163	3.2379638349858895	0.2269341638834677	9.603675147032624e-48	2.369638244850678e-44
ENSG00000178695.6	KCTD12	KCTD12	115207	potassium channel tetramerization domain containing 12	2632.0130636002878	-2.461106585055648	0.17899676247489238	2.717725580998468e-44	5.867569529375693e-41
ENSG00000101347.9	SAMHD1	SAMHD1	25939	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	12678.01572948183	3.7459853066361037	0.27729280623425634	1.325579512991073e-43	2.5439343720424237e-40
ENSG00000196517.12	SLC6A9	SLC6A9	6536	solute carrier family 6 member 9	226.70170591418216	-2.202499813802544	0.16317354588304278	4.545438596299715e-43	7.850881543528868e-40
ENSG00000162614.18	NEXN	NEXN	91624	nexilin F-actin binding protein	5248.589743310123	2.0018743694532093	0.15264127436770777	3.4227500060459077e-41	5.374339827674992e-38
ENSG00000096060.14	FKBP5	FKBP5	2289	FKBP prolyl isomerase 5	2550.790910135226	3.8172267815202265	0.292192925505373	4.2479293417214196e-41	6.114186299184363e-38
ENSG00000162616.9	DNAJB4	DNAJB4	11080	DnaJ heat shock protein family (Hsp40) member B4	1462.786850430418	1.4964651774717246	0.1240922680659155	1.1354326706514314e-35	1.5085533144224246e-32
ENSG00000166741.7	NNMT	NNMT	4837	nicotinamide N-methyltransferase	7393.011846033193	2.1227191330869766	0.17928644118845355	4.772587153798007e-34	5.888008951457085e-31
ENSG00000183044.12	ABAT	ABAT	18	4-aminobutyrate aminotransferase	494.8999803542594	1.1413240169908352	0.09733436769936184	2.948136245888708e-33	3.394680615932651e-30
ENSG00000116584.20	ARHGEF2	ARHGEF2	9181	Rho/Rac guanine nucleotide exchange factor 2	2220.952656369999	-0.9902602763012631	0.08454142251798635	6.491708097654421e-33	7.007798891417948e-30
ENSG00000144369.13	FAM171B	FAM171B	165215	family with sequence similarity 171 member B	1297.626735965294	-1.3242519109436026	0.11539004710714562	2.2472336831970838e-32	2.2831894221282372e-29
